Time (s),Channel 1 (V)
0.0019925,0.5675182788421159
0.001995,0.5678574881262507
0.0019975,0.5692143252627897
0.002,0.5695535345469245
0.0020025,0.5695535345469245
0.002005,0.5698927438310593
0.0020075,0.5705711623993287
0.002010000000000001,0.5712495809675981
0.0020125,0.5715887902517329
0.002015,0.5715887902517329
0.0020175,0.5719279995358677
0.00202,0.5726064181041373
0.0020225,0.5726064181041373
0.002025,0.5736240459565415
0.0020275,0.5739632552406763
0.002030000000000001,0.5746416738089457
0.0020325,0.5749808830930805
0.002035,0.5753200923772153
0.0020375,0.5756593016613499
0.00204,0.5766769295137543
0.0020425,0.5766769295137543
0.002045,0.5776945573661585
0.0020475,0.5783729759344279
0.00205,0.5780337666502933
0.002052500000000001,0.5783729759344279
0.002055,0.5793906037868323
0.0020575,0.5793906037868323
0.00206,0.5804082316392365
0.0020625,0.5804082316392365
0.002065,0.5810866502075059
0.0020675,0.5814258594916407
0.00207,0.5814258594916407
0.002072500000000001,0.5817650687757755
0.002075,0.5831219059123145
0.0020775,0.5824434873440449
0.00208,0.5824434873440449
0.0020825,0.5838003244805839
0.002085,0.5838003244805839
0.0020875,0.5838003244805839
0.00209,0.5848179523329883
0.0020925,0.5851571616171229
0.002095000000000001,0.5861747894695273
0.0020975,0.5865139987536621
0.0021,0.5865139987536621
0.0021025,0.5875316266060663
0.002105,0.5875316266060663
0.0021075,0.5871924173219315
0.00211,0.5882100451743357
0.0021125,0.5885492544584705
0.002115000000000001,0.5892276730267401
0.0021175,0.5895668823108747
0.00212,0.5895668823108747
0.0021225,0.5902453008791443
0.002125,0.5909237194474137
0.0021275,0.5905845101632791
0.00213,0.5909237194474137
0.0021325,0.5926197658680875
0.002135,0.5922805565839527
0.002137500000000001,0.5926197658680875
0.00214,0.5932981844363571
0.0021425,0.5936373937204917
0.002145,0.5939766030046265
0.0021475,0.5943158122887613
0.00215,0.5946550215728961
0.0021525,0.5956726494253003
0.002155,0.5953334401411655
0.002157500000000001,0.5960118587094351
0.00216,0.5973686958459741
0.0021625,0.5966902772777045
0.002165,0.5973686958459741
0.0021675,0.5977079051301087
0.00217,0.5980471144142435
0.0021725,0.5977079051301087
0.002175,0.5990647422666477
0.0021775,0.5994039515507825
0.002180000000000001,0.5997431608349173
0.0021825,0.6000823701190521
0.002185,0.6004215794031869
0.0021875,0.6007607886873215
0.00219,0.6014392072555911
0.0021925,0.6017784165397259
0.002195,0.6027960443921301
0.0021975,0.6027960443921301
0.002200000000000001,0.6031352536762649
0.0022025,0.6041528815286691
0.002205,0.6044920908128039
0.0022075,0.6044920908128039
0.00221,0.6051705093810733
0.0022125,0.6051705093810733
0.002215,0.6058489279493429
0.0022175,0.6065273465176123
0.00222,0.6065273465176123
0.002222500000000001,0.6072057650858819
0.002225,0.6072057650858819
0.0022275,0.6075449743700165
0.00223,0.6085626022224209
0.0022325,0.6085626022224209
0.002235,0.6085626022224209
0.0022375,0.6092410207906903
0.00224,0.6092410207906903
0.002242500000000001,0.6099194393589599
0.002245,0.6109370672113641
0.0022475,0.6102586486430945
0.00225,0.6112762764954989
0.0022525,0.6116154857796335
0.002255,0.6112762764954989
0.0022575,0.6126331136320379
0.00226,0.6126331136320379
0.0022625,0.6136507414844421
0.002265000000000001,0.6136507414844421
0.0022675,0.6139899507685769
0.00227,0.6143291600527117
0.0022725,0.6146683693368463
0.002275,0.6146683693368463
0.0022775,0.6156859971892507
0.00228,0.6163644157575201
0.0022825,0.6163644157575201
0.002285000000000001,0.6160252064733853
0.0022875,0.6163644157575201
0.00229,0.6173820436099243
0.0022925,0.6177212528940591
0.002295,0.6183996714623287
0.0022975,0.6190780900305981
0.0023,0.6190780900305981
0.0023025,0.6200957178830023
0.002305,0.6194172993147329
0.002307500000000001,0.6200957178830023
0.00231,0.6204349271671371
0.0023125,0.6211133457354067
0.002315,0.6214525550195413
0.0023175,0.6221309735878109
0.00232,0.6224701828719457
0.0023225,0.6228093921560803
0.002325,0.6228093921560803
0.002327500000000001,0.6231486014402151
0.00233,0.6241662292926193
0.0023325,0.6241662292926193
0.002335,0.6248446478608889
0.0023375,0.6248446478608889
0.00234,0.6251838571450237
0.0023425,0.6255230664291583
0.002345,0.6262014849974279
0.0023475,0.6262014849974279
0.002350000000000001,0.6272191128498321
0.0023525,0.6278975314181017
0.002355,0.6275583221339669
0.0023575,0.6278975314181017
0.00236,0.6285759499863711
0.0023625,0.6285759499863711
0.002365,0.6292543685546407
0.0023675,0.6295935778387753
0.002370000000000001,0.6299327871229101
0.0023725,0.6295935778387753
0.002375,0.6302719964070449
0.0023775,0.6309504149753145
0.00238,0.6306112056911797
0.0023825,0.6316288335435839
0.002385,0.6319680428277187
0.0023875,0.6326464613959881
0.00239,0.6323072521118535
0.002392500000000001,0.6326464613959881
0.002395,0.6333248799642577
0.0023975,0.6340032985325271
0.0024,0.6343425078166619
0.0024025,0.6343425078166619
0.002405,0.6343425078166619
0.0024075,0.6350209263849315
0.00241,0.6353601356690661
0.002412500000000001,0.6360385542373357
0.002415,0.6363777635214705
0.0024175,0.6367169728056051
0.00242,0.6370561820897399
0.0024225,0.6377346006580095
0.002425,0.6380738099421441
0.0024275,0.6380738099421441
0.00243,0.6384130192262789
0.0024325,0.6387522285104137
0.002435000000000001,0.6397698563628179
0.0024375,0.6397698563628179
0.00244,0.6401090656469527
0.0024425,0.6401090656469527
0.002445,0.6407874842152221
0.0024475,0.6411266934993569
0.00245,0.6414659027834917
0.0024525,0.6418051120676265
0.002455000000000001,0.6421443213517612
0.0024575,0.6428227399200307
0.00246,0.6431619492041655
0.0024625,0.6438403677724349
0.002465,0.6438403677724349
0.0024675,0.6441795770565697
0.00247,0.6445187863407045
0.0024725,0.6448579956248393
0.002475,0.6451972049089739
0.002477500000000001,0.6458756234772435
0.00248,0.6462148327613783
0.0024825,0.6462148327613783
0.002485,0.6472324606137825
0.0024875,0.6468932513296477
0.00249,0.6479108791820519
0.0024925,0.6482500884661867
0.002495,0.6485892977503215
0.002497500000000001,0.6489285070344563
0.0025,0.6489285070344563
0.0025025,0.6499461348868605
0.002505,0.6496069256027257
0.0025075,0.6502853441709953
0.00251,0.6502853441709953
0.0025125,0.6509637627392647
0.002515,0.6513029720233995
0.0025175,0.6509637627392647
0.002520000000000001,0.6516421813075343
0.0025225,0.6523205998758037
0.002525,0.6523205998758037
0.0025275,0.6533382277282079
0.00253,0.6529990184440733
0.0025325,0.6533382277282079
0.002535,0.6540166462964775
0.0025375,0.6540166462964775
0.002540000000000001,0.6546950648647469
0.0025425,0.6550342741488817
0.002545,0.6550342741488817
0.0025475,0.6553734834330165
0.00255,0.656051902001286
0.0025525,0.6557126927171513
0.002555,0.6563911112854207
0.0025575,0.6563911112854207
0.00256,0.6570695298536903
0.002562500000000001,0.6574087391378249
0.002565,0.6577479484219597
0.0025675,0.6580871577060945
0.00257,0.6584263669902293
0.0025725,0.6580871577060945
0.002575,0.6591047855584987
0.0025775,0.6591047855584987
0.00258,0.6594439948426335
0.002582500000000001,0.6604616226950377
0.002585,0.6608008319791725
0.0025875,0.6604616226950377
0.00259,0.6614792505474421
0.0025925,0.6618184598315767
0.002595,0.6621576691157115
0.0025975,0.6628360876839811
0.0026,0.6628360876839811
0.0026025,0.6631752969681157
0.002605000000000001,0.6635145062522505
0.0026075,0.6641929248205201
0.00261,0.6641929248205201
0.0026125,0.6648713433887895
0.002615,0.6648713433887895
0.0026175,0.6655497619570591
0.00262,0.6658889712411937
0.0026225,0.6658889712411937
0.002625000000000001,0.6662281805253285
0.0026275,0.6669065990935981
0.00263,0.6665673898094633
0.0026325,0.6675850176618675
0.002635,0.6675850176618675
0.0026375,0.6679242269460023
0.00264,0.6679242269460023
0.0026425,0.6682634362301371
0.002645,0.6686026455142717
0.002647500000000001,0.6692810640825413
0.00265,0.6696202733666761
0.0026525,0.6702986919349455
0.002655,0.6699594826508108
0.0026575,0.6706379012190803
0.00266,0.6709771105032151
0.0026625,0.6709771105032151
0.002665,0.6716555290714845
0.002667500000000001,0.6716555290714845
0.00267,0.6723339476397541
0.0026725,0.6726731569238888
0.002675,0.6730123662080235
0.0026775,0.6733515754921583
0.00268,0.6736907847762931
0.0026825,0.6740299940604277
0.002685,0.6743692033445625
0.0026875,0.6740299940604277
0.002690000000000001,0.6750476219128321
0.0026925,0.6750476219128321
0.002695,0.6750476219128321
0.0026975,0.6760652497652363
0.0027,0.6760652497652363
0.0027025,0.6764044590493711
0.002705,0.6770828776176405
0.0027075,0.6774220869017753
0.00271,0.6770828776176405
0.002712500000000001,0.6777612961859101
0.002715,0.6781005054700449
0.0027175,0.6784397147541795
0.00272,0.6787789240383143
0.0027225,0.6794573426065839
0.002725,0.6794573426065839
0.0027275,0.6794573426065839
0.00273,0.6794573426065839
0.002732500000000001,0.6804749704589881
0.002735,0.6804749704589881
0.0027375,0.6808141797431229
0.00274,0.6811533890272575
0.0027425,0.6811533890272575
0.002745,0.6821710168796619
0.0027475,0.6821710168796619
0.00275,0.6828494354479313
0.0027525,0.6825102261637965
0.002755000000000001,0.6835278540162009
0.0027575,0.6831886447320661
0.00276,0.6835278540162009
0.0027625,0.6831886447320661
0.002765,0.6838670633003356
0.0027675,0.6848846911527399
0.00277,0.6859023190051441
0.0027725,0.6855631097210093
0.002775000000000001,0.6859023190051441
0.0027775,0.6862415282892789
0.00278,0.6865807375734136
0.0027825,0.6872591561416831
0.002785,0.6875983654258179
0.0027875,0.6875983654258179
0.00279,0.6879375747099525
0.0027925,0.6882767839940873
0.002795,0.6889552025623569
0.002797500000000001,0.6889552025623569
0.0028,0.6892944118464917
0.0028025,0.6892944118464917
0.002805,0.6899728304147611
0.0028075,0.6903120396988959
0.00281,0.6913296675513001
0.0028125,0.6909904582671653
0.002815,0.6906512489830307
0.002817500000000001,0.6920080861195697
0.00282,0.6920080861195697
0.0028225,0.6923472954037043
0.002825,0.6923472954037043
0.0028275,0.6926865046878391
0.00283,0.6926865046878391
0.0028325,0.6930257139719739
0.002835,0.6933649232561087
